ID,Value,SEX,AGE0,AGE1,LANG,ANCSTRY10,ANCSTRY11,ANCSTRY20,ANCSTRY21,HISPANIC0,INDUSTRY0,LANG20,OCCUP0,POB0,POB1,RACE0,ANCSTRY12,ANCSTRY13,ANCSTRY22,ANCSTRY23,HISPANIC1,HISPANIC2,INDUSTRY1,INDUSTRY2,INDUSTRY3,INDUSTRY4,LANG21,RACE1,RACE2,RACE3,RACE4,OCCUP1,OCCUP2,OCCUP3,OCCUP4,OCCUP5,POB2,POB3
10,1,Male,20+,24,Speaks only English,NORTH AMERICA (EXCEPT HISPANIC),AMERICAN,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,MANUFACTURING,NOT IN UNIVERSE,MANAGERIAL AND PROFESSIONAL SPECIALTY OCCUPATIONS,United States,Arkansas,White,,,,,,,Durable Goods,Transportation equipment,"Guided missiles, space vehicles, and parts",,,,,,,Professional Specialty Occupations,"Engineers, Architects, and Surveyors",Engineers,Aerospace,,,
11,1,Male,0+,0,NA (less than 5 years old),RESIDUAL AND NO RESPONSE,NOT REPORTED,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,Asian or Pacific Islander :,,,,,,,,,,,,Asian,Filipino,,,,,,,,,
12,1,Female,10+,12,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),IRISH,NORTH AMERICA (EXCEPT HISPANIC),NATIVE AMERICAN,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,White,,,AMERICAN INDIAN,,,,,,,,,,,,,,,,,,,
13,1,Female,0+,4,NA (less than 5 years old),WESTERN EUROPE (EXCEPT SPAIN),GERMAN,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,White,GERMAN,,,,,,,,,,,,,,,,,,,,,
14,1,Female,20+,23,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),GERMAN,WESTERN EUROPE (EXCEPT SPAIN),ENGLISH,NOT SPANISH/HISPANIC,BUSINESS AND REPAIR SERVICES,NOT IN UNIVERSE,SERVICE OCCUPATIONS,United States,Alabama,White,GERMAN,,,,,,Services to dwellings and other buildings,,,,,,,,,"Service Occupations, Except Protective and Household","Cleaning and Building Service Occupations, Except Household",Janitors and cleaners,,,,
15,1,Male,30+,38,Speaks only English,NORTH AMERICA (EXCEPT HISPANIC),AFRICAN AMERICAN,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,CONSTRUCTION,NOT IN UNIVERSE,"PRECISION PRODUCTION, CRAFT, AND REPAIR OCCUPATIONS",United States,Alabama,Black,AFRO AMERICAN,,,,,,,,,,,,,,,Construction Trades,"Construction Trades, Except Supervisors",Concrete and terrazzo finishers,,,,
16,1,Female,40+,42,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),GERMAN,WESTERN EUROPE (EXCEPT SPAIN),ENGLISH,NOT SPANISH/HISPANIC,PROFESSIONAL AND RELATED SERVICES,NOT IN UNIVERSE,MANAGERIAL AND PROFESSIONAL SPECIALTY OCCUPATIONS,United States,Maryland,White,GERMAN,,,,,,Elementary and secondary schools,,,,,,,,,Professional Specialty Occupations,"Teachers, Except Postsecondary","Teachers, elementary school",,,,
17,1,Male,60+,68,Speaks only English,EASTERN EUROPE AND SOVIET UNION,CZECHOSLOVAKIAN,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,BUSINESS AND REPAIR SERVICES,NOT IN UNIVERSE,"TECHNICAL, SALES, AND ADMINISTRATIVE SUPPORT OCCUPATIONS",United States,Pennsylvania,White,,,,,,,"Business services, n.e.c.",,,,,,,,,Sales Occupations,"Sales Representatives, Finance and Business Services","Sales occupations, other business services",,,,
18,1,Female,60+,67,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),IRISH,WESTERN EUROPE (EXCEPT SPAIN),ENGLISH,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,White,,,,,,,,,,,,,,,,,,,,,,
19,1,Male,20+,24,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),ENGLISH,WESTERN EUROPE (EXCEPT SPAIN),DANISH,NOT SPANISH/HISPANIC,RETAIL TRADE,NOT IN UNIVERSE,"TECHNICAL, SALES, AND ADMINISTRATIVE SUPPORT OCCUPATIONS",United States,Tennessee,White,,,,,,,Miscellaneous retail stores,,,,,,,,,Sales Occupations,"Sales Workers, Retail and Personal Services","Sales workers, other commodities",,,,
20,1,Female,40+,41,Speaks only English,NORTH AFRICA AND SOUTHWEST ASIA,LEBANESE,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,PROFESSIONAL AND RELATED SERVICES,NOT IN UNIVERSE,MANAGERIAL AND PROFESSIONAL SPECIALTY OCCUPATIONS,United States,Mississippi,White,,,,,,,Elementary and secondary schools,,,,,,,,,Professional Specialty Occupations,"Teachers, Except Postsecondary","Teachers, elementary school",,,,
21,1,Male,40+,44,Speaks other language,WESTERN EUROPE (EXCEPT SPAIN),IRISH,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,BUSINESS AND REPAIR SERVICES,GERMAN,"PRECISION PRODUCTION, CRAFT, AND REPAIR OCCUPATIONS",United States,Illinois,White,,,,,,,"Business services, n.e.c.",,,,,,,,,Mechanics and Repairers,"Mechanics and Repairers, Except Supervisors",Electrical and Electronic Equipment Repairers,"Electronic repairers, communications and industrial   equipment",,,
22,1,Female,20+,23,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),IRISH,WESTERN EUROPE (EXCEPT SPAIN),ITALIAN,NOT SPANISH/HISPANIC,"FINANCE, INSURANCE, AND REAL ESTATE",NOT IN UNIVERSE,"TECHNICAL, SALES, AND ADMINISTRATIVE SUPPORT OCCUPATIONS",United States,Florida,White,,,ITALIAN,,,,"Real estate, including real estate-insurance offices",,,,,,,,,Sales Occupations,"Sales Representatives, Finance and Business Services",Real estate sales occupations,,,,
23,1,Female,70+,78,Speaks only English,RESIDUAL AND NO RESPONSE,NOT REPORTED,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,White,,,,,,,,,,,,,,,,,,,,,,
24,1,Male,50+,51,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),IRISH,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,MANUFACTURING,NOT IN UNIVERSE,MANAGERIAL AND PROFESSIONAL SPECIALTY OCCUPATIONS,United States,Massachusetts,White,,,,,,,Durable Goods,Transportation equipment,"Guided missiles, space vehicles, and parts",,,,,,,Professional Specialty Occupations,Mathematical and Computer Scientists,Computer systems analysts and scientists,,,,
25,1,Female,10+,17,Speaks only English,EASTERN EUROPE AND SOVIET UNION,POLISH,WESTERN EUROPE (EXCEPT SPAIN),IRISH,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,New Jersey,White,POLISH,,,,,,,,,,,,,,,,,,,,,
26,1,Female,30+,32,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),IRISH,WESTERN EUROPE (EXCEPT SPAIN),GERMAN,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),Europe,"Germany, not specified",White,,,GERMAN,,,,,,,,,,,,,,,,,,,
27,1,Female,40+,47,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),DUTCH,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,PROFESSIONAL AND RELATED SERVICES,NOT IN UNIVERSE,MANAGERIAL AND PROFESSIONAL SPECIALTY OCCUPATIONS,United States,Arkansas,White,,,,,,,Elementary and secondary schools,,,,,,,,,Professional Specialty Occupations,"Teachers, Except Postsecondary","Teachers, elementary school",,,,
28,1,Female,70+,72,Speaks only English,NORTH AMERICA (EXCEPT HISPANIC),AMERICAN,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,White,,,,,,,,,,,,,,,,,,,,,,
29,1,Female,40+,48,Speaks only English,RESIDUAL AND NO RESPONSE,UNCODABLE ENTRIES,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,RETAIL TRADE,NOT IN UNIVERSE,SERVICE OCCUPATIONS,United States,Alabama,White,,,,,,,Eating and drinking places,,,,,,,,,"Service Occupations, Except Protective and Household",Food Preparation and Service Occupations,Cooks,,,,
30,1,Male,10+,10,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),IRISH,NORTH AMERICA (EXCEPT HISPANIC),NATIVE AMERICAN,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,White,,,AMERICAN INDIAN,,,,,,,,,,,,,,,,,,,
31,1,Male,0+,6,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),IRISH,NORTH AMERICA (EXCEPT HISPANIC),NATIVE AMERICAN,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,White,,,AMERICAN INDIAN,,,,,,,,,,,,,,,,,,,
32,1,Female,10+,14,Speaks only English,NORTH AMERICA (EXCEPT HISPANIC),FRENCH CANADIAN,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,White,,,,,,,,,,,,,,,,,,,,,,
33,1,Female,40+,49,Speaks only English,RESIDUAL AND NO RESPONSE,MIXTURE,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,"TRANSPORTATION, COMMUNICATIONS, AND OTHER PUBLIC UTILITIES",NOT IN UNIVERSE,"TECHNICAL, SALES, AND ADMINISTRATIVE SUPPORT OCCUPATIONS",United States,Alabama,White,,,,,,,Communications,Radio and television broadcasting and cable,,,,,,,,"Administrative Support Occupations, Including Clerical",Miscellaneous Administrative Support Occupations,General office clerks,,,,
34,1,Male,50+,52,Speaks only English,RESIDUAL AND NO RESPONSE,NOT REPORTED,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,"AGRICULTURE, FORESTRY, AND FISHERIES",NOT IN UNIVERSE,Other Agricultural and Related Occupations,United States,Alabama,White,,,,,,,"Agricultural production, crops",,,,,,,,,"Farm Occupations, Except Managerial",Farm workers,,,,,
35,1,Female,10+,16,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),ITALIAN,EASTERN EUROPE AND SOVIET UNION,HUNGARIAN,NOT SPANISH/HISPANIC,RETAIL TRADE,NOT IN UNIVERSE,SERVICE OCCUPATIONS,United States,Ohio,White,ITALIAN,,HUNGARIAN,,,,Eating and drinking places,,,,,,,,,"Service Occupations, Except Protective and Household",Food Preparation and Service Occupations,Waiters and waitresses,,,,
36,1,Female,30+,34,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),ENGLISH,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,PROFESSIONAL AND RELATED SERVICES,NOT IN UNIVERSE,MANAGERIAL AND PROFESSIONAL SPECIALTY OCCUPATIONS,United States,Alabama,White,,,,,,,"Residential care facilities, without nursing",,,,,,,,,Professional Specialty Occupations,Health Assessment and Treating Occupations,Dietitians,,,,
37,1,Female,0+,2,NA (less than 5 years old),RESIDUAL AND NO RESPONSE,NOT REPORTED,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Tennessee,White,,,,,,,,,,,,,,,,,,,,,,
38,1,Female,50+,53,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),IRISH,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,RETAIL TRADE,NOT IN UNIVERSE,SERVICE OCCUPATIONS,United States,Alabama,White,,,,,,,Eating and drinking places,,,,,,,,,"Service Occupations, Except Protective and Household",Food Preparation and Service Occupations,Cooks,,,,
39,1,Female,40+,42,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),ITALIAN,WESTERN EUROPE (EXCEPT SPAIN),SCOTTISH,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,White,ITALIAN,,,,,,,,,,,,,,,,,,,,,
40,1,Female,20+,26,Speaks only English,NORTH AMERICA (EXCEPT HISPANIC),AFRICAN AMERICAN,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,BUSINESS AND REPAIR SERVICES,NOT IN UNIVERSE,"OPERATORS, FABRICATORS, AND LABORERS",United States,Alabama,Black,AFRO AMERICAN,,,,,,Personnel supply services,,,,,,,,,"Machine Operators, Assemblers, and Inspectors","Fabricators, Assemblers, and Hand Working Occupations",Assemblers,,,,
41,1,Male,70+,76,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),GERMAN,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,CONSTRUCTION,NOT IN UNIVERSE,"PRECISION PRODUCTION, CRAFT, AND REPAIR OCCUPATIONS",United States,Alabama,White,GERMAN,,,,,,,,,,,,,,,Construction Trades,"Construction Trades, Except Supervisors","Construction trades, n.e.c.",,,,
42,1,Female,10+,12,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),SCOTCH-IRISH,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,White,,,,,,,,,,,,,,,,,,,,,,
43,1,Female,70+,70,Speaks only English,RESIDUAL AND NO RESPONSE,NOT REPORTED,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,White,,,,,,,,,,,,,,,,,,,,,,
44,1,Male,10+,10,Speaks only English,RESIDUAL AND NO RESPONSE,NOT REPORTED,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,White,,,,,,,,,,,,,,,,,,,,,,
45,1,Male,0+,3,NA (less than 5 years old),WESTERN EUROPE (EXCEPT SPAIN),ENGLISH,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,White,,,,,,,,,,,,,,,,,,,,,,
46,1,Female,20+,28,Speaks only English,RESIDUAL AND NO RESPONSE,NOT REPORTED,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,White,,,,,,,,,,,,,,,,,,,,,,
47,1,Male,40+,48,Speaks only English,RESIDUAL AND NO RESPONSE,NOT REPORTED,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,BUSINESS AND REPAIR SERVICES,NOT IN UNIVERSE,SERVICE OCCUPATIONS,United States,Alabama,White,,,,,,,Detective and protective services,,,,,,,,,Protective Service Occupations,Guards,"Guards and police, except public service",,,,
48,1,Female,60+,69,Speaks only English,NORTH AMERICA (EXCEPT HISPANIC),AFRICAN AMERICAN,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,PERSONAL SERVICES,NOT IN UNIVERSE,SERVICE OCCUPATIONS,United States,Tennessee,Black,AFRO AMERICAN,,,,,,Private households,,,,,,,,,Private Household Occupations,Private household cleaners and servants,,,,,
49,1,Female,10+,17,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),GERMAN,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,RETAIL TRADE,NOT IN UNIVERSE,"TECHNICAL, SALES, AND ADMINISTRATIVE SUPPORT OCCUPATIONS",United States,Alabama,White,GERMAN,,,,,,Eating and drinking places,,,,,,,,,Sales Occupations,"Sales Workers, Retail and Personal Services",Cashiers,,,,
50,1,Female,30+,39,Speaks only English,NORTH AMERICA (EXCEPT HISPANIC),AMERICAN,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,"AGRICULTURE, FORESTRY, AND FISHERIES",NOT IN UNIVERSE,Other Agricultural and Related Occupations,United States,Georgia,White,,,,,,,"Agricultural production, livestock",,,,,,,,,"Farm Occupations, Except Managerial",Farm workers,,,,,
51,1,Female,30+,39,Speaks only English,RESIDUAL AND NO RESPONSE,NOT REPORTED,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,MANUFACTURING,NOT IN UNIVERSE,"OPERATORS, FABRICATORS, AND LABORERS",United States,Alabama,White,,,,,,,Nondurable Goods,Apparel and other finished textile products,"Apparel and accessories, except knit",,,,,,,"Machine Operators, Assemblers, and Inspectors","Machine Operators and Tenders, Except Precision","Textile, Apparel, and Furnishings Machine Operators",Textile sewing machine operators,,,
52,1,Male,40+,41,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),IRISH,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,CONSTRUCTION,NOT IN UNIVERSE,"PRECISION PRODUCTION, CRAFT, AND REPAIR OCCUPATIONS",United States,Alabama,White,,,,,,,,,,,,,,,,Construction Trades,"Construction Trades, Except Supervisors",Insulation workers,,,,
53,1,Female,0+,5,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),GERMAN,NORTH AMERICA (EXCEPT HISPANIC),NATIVE AMERICAN,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,White,GERMAN,,AMERICAN INDIAN,,,,,,,,,,,,,,,,,,,
54,1,Female,30+,35,Speaks only English,NORTH AMERICA (EXCEPT HISPANIC),NATIVE AMERICAN,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,N/A (less than 16 years old/unemployed who never worked/nilf who last worked prior to 1985),NOT IN UNIVERSE,N/A (less than 16 years old/unemployed who never worked/NILF who last worked prior to 1985),United States,Alabama,White,AMERICAN INDIAN,,,,,,,,,,,,,,,,,,,,,
55,1,Male,70+,75,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),IRISH,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,WHOLESALE TRADE,NOT IN UNIVERSE,"TECHNICAL, SALES, AND ADMINISTRATIVE SUPPORT OCCUPATIONS",United States,Alabama,White,,,,,,,Nondurable Goods,Farm-product raw materials,,,,,,,,Sales Occupations,"Supervisors and Proprietors, Sales Occupations",,,,,
56,1,Male,20+,22,Speaks only English,WESTERN EUROPE (EXCEPT SPAIN),GERMAN,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,BUSINESS AND REPAIR SERVICES,NOT IN UNIVERSE,"TECHNICAL, SALES, AND ADMINISTRATIVE SUPPORT OCCUPATIONS",United States,Alabama,White,GERMAN,,,,,,Computer and data processing services .e.c.,,,,,,,,,Technicians and Related Support Occupations,"Technologists and Technicians, Except Health",Engineering and Related Technologists and Technicians,Electrical and electronic technicians,,,
57,1,Male,20+,23,Speaks only English,NORTH AMERICA (EXCEPT HISPANIC),AMERICAN,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,MANUFACTURING,NOT IN UNIVERSE,"TECHNICAL, SALES, AND ADMINISTRATIVE SUPPORT OCCUPATIONS",United States,Alabama,White,,,,,,,Nondurable Goods,Food and kindred products,Meat products,,,,,,,"Administrative Support Occupations, Including Clerical","Material Recording, Scheduling, and Distributing Clerks","Traffic, shipping, and receiving clerks",,,,
58,1,Female,50+,56,Speaks only English,RESIDUAL AND NO RESPONSE,NOT REPORTED,RESIDUAL AND NO RESPONSE,NOT REPORTED,NOT SPANISH/HISPANIC,PROFESSIONAL AND RELATED SERVICES,NOT IN UNIVERSE,MANAGERIAL AND PROFESSIONAL SPECIALTY OCCUPATIONS,United States,Alabama,White,,,,,,,Hospitals,,,,,,,,,Professional Specialty Occupations,Health Assessment and Treating Occupations,Therapists,Physical therapists,,,
